year,total,Rock,Punk,Blues,Metal
1997,715,208.33333333333334,34.166666666666664,46.166666666666664,47.33333333333334
1998,788,181.0,31.66666666666666,44.333333333333336,41.00000000000001
1964,266,124.83333333333333,6.333333333333333,45.333333333333336,6.499999999999999
1993,665,183.83333333333334,29.499999999999993,26.999999999999996,51.66666666666667
1949,71,6.0,0,16.0,0
2010,530,92.5,5.0,46.0,6.5
1996,745,186.33333333333334,21.499999999999996,38.33333333333333,50.833333333333336
2005,806,186.50000000000003,20.0,80.5,21.0
1991,545,146.58333333333331,28.58333333333333,21.916666666666664,45.91666666666667
2002,721,177.16666666666666,19.166666666666664,59.0,21.666666666666664
2007,736,162.16666666666666,15.666666666666668,55.0,8.166666666666666
1982,377,123.33333333333333,30.333333333333336,16.333333333333332,48.00000000000001
1940,203,9.0,0,51.0,0
2009,569,90.5,6.0,45.0,9.5
1989,613,185.66666666666669,32.33333333333333,21.833333333333336,68.16666666666667
1990,870,237.66666666666674,34.166666666666664,67.33333333333334,62.83333333333335
1951,80,8.5,0,19.5,0
2011,435,64.0,2.0,35.5,1.5
1970,731,212.50000000000003,31.666666666666664,123.66666666666667,15.166666666666668
1986,470,161.83333333333331,33.83333333333333,22.0,52.333333333333336
1978,393,128.16666666666666,44.66666666666667,25.0,34.166666666666664
1939,49,3.0,0,5.0,0
1950,356,44.0,0,108.0,0
1947,55,8.5,0,10.5,0
1974,232,89.16666666666667,14.0,17.166666666666664,9.666666666666666
1926,23,0.5,0,3.5,0
1965,308,133.58333333333334,4.75,35.083333333333336,8.583333333333334
1969,288,110.41666666666664,1.5833333333333333,45.91666666666667,8.083333333333332
2008,683,139.66666666666666,8.666666666666666,58.0,12.666666666666666
25,6,0,0,0,1.0
1980,824,248.83333333333334,49.00000000000001,87.16666666666669,53.0
1995,758,188.83333333333334,30.000000000000004,47.33333333333333,56.83333333333333
2006,740,142.50000000000003,16.5,60.833333333333336,13.166666666666668
2000,896,213.16666666666666,18.166666666666664,46.33333333333333,33.333333333333336
1934,35,0,0,5.0,0
1992,649,167.83333333333337,17.666666666666668,23.333333333333332,41.16666666666668
2013,218,26.5,0,22.5,0
1935,43,2.0,0,4.0,0
2003,799,194.16666666666666,22.333333333333332,62.33333333333333,29.166666666666664
2004,811,194.66666666666666,15.166666666666666,59.0,19.166666666666668
1954,100,20.5,0.5,27.0,0
1963,234,91.66666666666667,3.0,32.16666666666667,4.166666666666667
1946,79,7.0,0,14.0,0
1983,375,117.33333333333331,28.499999999999996,19.833333333333336,41.333333333333336
1999,783,213.16666666666669,14.833333333333332,41.0,33.0
1976,334,110.16666666666664,54.66666666666668,17.666666666666668,13.5
1971,216,72.91666666666667,6.916666666666667,26.25,4.916666666666667
2014,138,22.333333333333332,0.3333333333333333,12.0,1.3333333333333333
1985,471,145.83333333333334,30.83333333333333,18.5,58.833333333333336
2012,368,41.0,2.5,31.5,1.0
1994,640,178.83333333333334,25.166666666666664,24.166666666666664,54.833333333333336
1977,348,113.66666666666666,59.83333333333334,22.666666666666664,17.833333333333332
1981,352,120.41666666666664,32.08333333333333,14.416666666666668,37.08333333333333
1984,391,128.66666666666663,20.166666666666668,15.666666666666668,52.500000000000014
1968,292,108.66666666666667,7.166666666666666,38.833333333333336,7.333333333333333
2001,711,173.83333333333337,28.333333333333332,45.333333333333336,18.5
1987,457,124.49999999999997,28.666666666666664,19.833333333333336,52.00000000000001
1988,505,132.5,19.5,22.5,62.50000000000001
1979,400,141.66666666666666,55.16666666666667,22.5,32.666666666666664
1966,256,120.33333333333331,3.666666666666667,36.0,6.999999999999999
1972,217,81.16666666666667,9.166666666666668,19.0,7.666666666666666
1960,716,219.83333333333331,5.833333333333333,141.0,5.333333333333334
1916,11,0,0,2.0,0
1967,275,128.83333333333331,5.333333333333334,39.333333333333336,10.5
1955,115,18.0,0,32.0,0
1975,328,115.99999999999999,16.166666666666664,29.666666666666664,19.166666666666668
1959,175,54.0,2.5,34.0,0.5
40,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
1962,222,79.33333333333334,1.8333333333333333,31.833333333333332,2.0
1973,230,86.0,10.333333333333334,21.5,5.166666666666666
198,8,3.5,0.5,0,0
1938,33,1.5,0,1.5,0
1956,150,41.0,0.5,27.5,0
1899,9,0,0,1.0,0
1936,40,0,0,4.0,0
1957,149,42.833333333333336,0.8333333333333333,30.833333333333332,0.5
1952,70,8.5,0,15.5,0
1929,24,0,0,6.0,0
3,1,0,0,0,0
1909,4,0,0,0,0
1862,2,0,0,0,0
1930,153,4.0,0,56.0,0
1920,125,1.5,0,58.5,0
1948,63,3.0,0,11.0,0
1910,26,0,0,7.0,0
1914,7,0,0,3.0,0
1941,22,1.0,0,4.0,0
1922,13,0,0,4.0,0
1902,5,0,0,0,0
1937,32,2.0,0,3.0,0
1924,24,0,0,4.0,0
1931,25,0.5,0,5.5,0
1945,59,3.0,0,13.0,0
1849,1,0,0,0,0
1927,33,0,0,10.0,0
1925,22,0,0,3.0,0
1961,165,57.83333333333333,1.5,29.333333333333332,1.3333333333333333
19,8,0.5,0,0.5,0
10,3,1.0,0,0,0
90,5,2.0,0,2.0,0
1870,2,0,0,0,0
1958,206,67.5,0.5,44.0,1.0
2015,67,7.0,0,3.0,0
1943,36,2.5,0,4.5,0
39,1,0,0,0,0
1942,46,2.0,0,4.0,0
1895,5,0,0,0,0
1944,39,0,0,2.0,0
1921,7,0,0,0,0
1892,1,0,0,0,0
1953,88,15.5,0.5,20.0,0
77,1,0,0,0,0
1919,14,1.0,0,3.0,0
1889,1,0,0,0,0
22,1,0,0,0,0
1878,1,0,0,0,0
1917,5,0,0,0,0
1904,4,0,0,0,0
18,1,1.0,0,0,0
1860,1,0,0,0,0
1912,9,0,0,2.0,0
1928,23,0.5,0,7.5,0
1900,14,0,0,5.0,0
1933,37,1.0,0,5.0,0
1932,19,0.5,0,3.5,0
1918,9,0,0,3.0,0
80,18,5.5,2.0,1.0,1.5
1890,7,0,0,1.0,0
1923,15,0,0,4.0,0
52,1,0,0,0,0
1875,3,0,0,0,0
1905,4,0,0,0,0
1867,1,0,0,0,0
1891,2,0,0,0,0
1903,8,0,0,1.0,0
1915,6,0,0,0,0
36,1,1.0,0,0,0
33,1,0,0,0,0
199,6,0,1.0,0,1.0
1880,6,0,0,0,0
196,2,0,0,0,0
11,2,0.5,0,0,0.5
1894,2,0,0,0,0
70,5,1.0,0,0,0
1790,1,0,0,0,0
13,1,0,0,1.0,0
56,1,0,0,0,0
195,1,0,0,0,0
20,4,2.5,0,1.5,0
35,3,0,0,0,0
1888,2,0,0,0,0
1906,1,0,0,0,0
1901,5,0,0,0,0
1879,1,0,0,0,0
1898,2,0,0,1.0,0
1908,3,0,0,1.0,0
1814,1,0,0,0,0
1897,3,0,0,0,0
1872,1,0,0,0,0
-2005,1,0,0,0,0
1844,1,0,0,0,0
50,3,0,0,0,0
1885,4,0,0,0,0
1852,2,0,0,0,0
31,1,1.0,0,0,0
1755,1,0,0,0,0
1596,1,0,0,0,0
1,1,0,0,0,0
1873,2,0,0,0,0
1893,3,0,0,1.0,0
60,2,0,0,1.0,0
1907,1,0,0,0,0
1869,1,0,0,0,0
1770,1,0,0,0,0
1845,1,0,0,0,0
197,6,3.0,0,0,0
16,1,0,0,0,0
1913,3,0,0,0,0
1863,1,0,0,0,0
1876,2,0,0,0,0
1850,2,0,0,0,0
30,3,1.0,0,0,0
1865,1,0,0,0,0
94,1,1.0,0,0,0
1887,2,0,0,0,0
1911,5,0,0,0,0
1776,1,0,0,0,0
17,1,0,0,0,0
8,2,0,0,0,1.0
1877,1,0,0,0,0
37,2,1.0,0,0,0
41,2,1.0,0,0,0
1883,1,0,0,0,0
45,1,0,0,0,0
1695,1,0,0,0,0
65,1,0,0,0,0
1774,1,0,0,0,0
5,1,0,0,1.0,0
350,1,0,0,0,0
32,1,0,0,0,0
27,1,0,0,0,0
12,1,0,0,0,0
1886,1,0,0,0,0
