year,rock,punk
1997,410,75
1998,362,53
1964,320,8
1993,386,58
1949,8,0
2010,154,10
1996,335,51
2005,310,40
1991,311,63
2002,311,28
2007,255,21
1982,286,62
1940,11,0
2009,151,9
1989,412,68
1990,491,71
1951,14,0
2011,90,0
1970,448,59
1986,346,79
1978,321,94
1939,7,0
1950,68,0
1947,15,0
1974,190,35
1926,1,0
1965,280,7
1969,228,4
2008,206,12
25,0,0
1980,503,110
1995,402,56
2006,222,19
2000,370,35
1934,0,0
1992,321,48
2013,39,0
1935,3,0
2003,329,38
2004,301,28
1954,36,1
1963,209,9
1946,10,0
1983,279,61
1999,355,31
1976,278,112
1971,161,18
2014,33,1
1985,323,60
2012,61,2
1994,331,54
1977,302,116
1981,278,70
1984,287,51
1968,211,14
2001,331,53
1987,280,61
1988,283,49
1979,330,110
1966,273,10
1972,178,24
1960,401,12
1916,0,0
1967,323,7
1955,26,0
1975,231,32
1959,111,4
40,4,2
1962,165,1
1973,158,27
198,7,2
1938,2,0
1956,85,0
1899,0,0
1936,0,0
1957,75,1
1952,18,0
1929,0,0
3,0,0
1909,0,0
1862,0,0
1930,7,0
1920,3,0
1948,5,0
1910,0,0
1914,0,0
1941,1,0
1922,0,0
1902,0,0
1937,2,0
1924,0,0
1931,1,0
1945,4,0
1849,0,0
1927,0,0
1925,0,0
1961,127,1
19,2,0
10,1,0
90,3,0
1870,0,0
1958,112,1
2015,9,0
1943,3,0
39,0,0
1942,3,0
1895,0,0
1944,0,0
1921,0,0
1892,0,0
1953,21,1
77,0,0
1919,2,0
1889,0,0
22,0,0
1878,0,0
1917,0,0
1904,0,0
18,1,0
1860,0,0
1912,0,0
1928,1,0
1900,0,0
1933,1,0
1932,1,0
1918,0,0
80,8,2
1890,0,0
1923,0,0
52,0,0
1875,0,0
1905,0,0
1867,0,0
1891,0,0
1903,0,0
1915,0,0
36,1,0
33,0,0
199,1,2
1880,0,0
196,0,0
11,1,0
1894,0,0
70,1,0
1790,0,0
13,0,0
56,0,0
195,0,0
20,3,0
35,0,0
1888,0,0
1906,0,0
1901,0,0
1879,0,0
1898,0,0
1908,0,0
1814,0,0
1897,0,0
1872,0,0
-2005,0,0
1844,0,0
50,0,0
1885,0,0
1852,0,0
31,1,0
1755,0,0
1596,0,0
1,0,0
1873,0,0
1893,0,0
60,0,0
1907,0,0
1869,0,0
1770,0,0
1845,0,0
197,3,0
16,0,0
1913,0,0
1863,0,0
1876,0,0
1850,0,0
30,1,0
1865,0,0
94,1,0
1887,0,0
1911,0,0
1776,0,0
17,0,0
8,0,0
1877,0,0
37,1,0
41,1,0
1883,0,0
45,0,0
1695,0,0
65,0,0
1774,0,0
5,0,0
350,0,0
32,0,0
27,0,0
12,0,0
1886,0,0
